duration,date,subjectcode,Abacus,Abanet,Abanga,Abaser,Abassi,Abater,Abatis,Abator,Abbacy,Abbess,Abdest,Abider,Abject,Ablaut,Abraum,Abseil,Acacia,Acacin,Acajou,Acanth,Acarus,Acater,Acates,Accent,Access,Accost,Accrue,Accuse,Acetal,Acetin,Achate,Achean,Achene,Acidly,Acinus,Acnode,Acrasy,Acrisy,Acrita,Acrity,Across,Action,Acture,Acuity,Acumen,Adarce,Adatis,Adders,Addice,Addict,Adesmy,Adipsy,Admins,Adnoun,Adobes,Adonai,Adonic,Adonis,Adorer,Advent,Adverb,Advice,Adviso,Adward,Adytum,Aedile,Aeneid,b,c,d,comments,condition
399,4/27/20 15:51,R_2Va0CAcAyK8bjS0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nothing at all. ,3
124,4/27/20 15:51,R_2PaF4hT4Xg0KO0D,0,20,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
175,4/27/20 15:51,R_5uvFMYAcjY0BSTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,3
388,4/27/20 15:51,R_2BzhWWg344QWDc9,,,,,,,,,,,,,,,,,,,,,,3,20,20,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nothing,10
165,4/27/20 15:52,R_307txNgnuZFfr7S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,0,0,2,,,,,,,,,,,,,,,I don't believe so.,6
307,4/27/20 15:52,R_UxvaveTd1gQGluF,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,10
423,4/27/20 15:52,R_vTrNOj6tF4qAMAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,0,0,0,3,,,,,,,,No,7
434,4/27/20 15:52,R_3dYex7kwUSYHQlJ,,,,,,,,,,,,,,,0,19,20,20,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,9
116,4/27/20 15:52,R_2PhtCxWaSMHDP33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,0,0,2,,,,,,,,,,,,,,,No,6
152,4/27/20 15:52,R_1NkwHOgM40TVmkl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,20,20,20,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,3
395,4/27/20 15:53,R_2zvB2oZUbM12Buz,,,,,,,,0,0,20,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, but it will not effect the clam population if he doesn't go over the old amount with the new tube. They should get together and enact an ordinance to limit the catch amount to protect the species.",2
228,4/27/20 15:53,R_3HH0twxmlfLGQE1,,,,,,,,,,,,,,,0,19,20,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nothing, everything was clear",9
346,4/27/20 15:53,R_8H3pM6qWLM7TMpH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.  The content about rabbit hunting bothered me though.  I did not let those feelings effect my answers.,4
446,4/27/20 15:54,R_2CIp443oABDUGYN,13,3,20,2,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1
277,4/27/20 15:54,R_1mDx9VfTIpAHKUi,0,20,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,1
163,4/27/20 15:54,R_1P8ldWCwE50mxGp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,1,0,3,No,8
235,4/27/20 15:54,R_1MQz6MrWvnEfkQJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,0,0,0,3,,,,,,,,"there are only 20 people who forage for mushrooms regularly, however, jon talked to 20 people about it and they are all mushroom foragers. If he is a regular mushroom forager too then it would bring the total number of regular foragers in the town to 21 not 20?",7
144,4/27/20 15:54,R_2uF5Yj9g51Rf7yx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,19,20,1,1,2,,,,,,,,,,,,,,,,,,,,,,nothing very well,5
592,4/27/20 15:54,R_qBYWpHEJKeOCB2N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,0,0,0,3,,,,,,,,no,7
292,4/27/20 15:55,R_3njywxx0sv0KeU1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,No,5
520,4/27/20 15:55,R_2CIh6Yg774FmcYh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,7,7,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,, no it was pretty cleand and understaning the situation,4
179,4/27/20 15:55,R_6X4VCNmEKiW1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,3
274,4/27/20 15:56,R_11cJ2irU5JQLNrd,,,,,,,,,,,,,,,0,20,20,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,9
188,4/27/20 15:56,R_3dSSUHzW0kXAwZa,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,10
370,4/27/20 15:57,R_2CPPHHCj05S1Qx8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,20,0,1,0,3,,,,,,,,What people say they will do isn't necessarily true. John will know he is using the knife but others won't see the knife could be 0or 1 as an answer,7
750,4/27/20 15:58,R_12nnm7F9Ti3H7U6,,,,,,,,20,0,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2
122,4/27/20 15:58,R_2QsLqjbcb3gQQiG,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,10
361,4/27/20 15:58,R_Ti0x5pOa3CUZhYd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,no,5
685,4/27/20 15:58,R_1dDZEQjLzrWpQRb,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,10
243,4/27/20 15:58,R_24wS9ZZjzeBbGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,20,0,0,0,3,,,,,,,,,,,,,,,Everything was clear.,6
284,4/27/20 15:58,R_26fD20CxoEcoxS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,20,0,0,0,3,,,,,,,,no,7
179,4/27/20 15:59,R_2PBxXIZu5d9GV5I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,3
151,4/27/20 15:59,R_1f14DA2rhO738TD,,,,,,,,,,,,,,,20,20,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.,9
184,4/27/20 15:59,R_2VyB8bxSFoUgHs7,,,,,,,,0,0,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
254,4/27/20 15:59,R_1obCqtwBwFxpc7x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,20,0,1,0,3,No.,8
379,4/27/20 16:00,R_2ZPHc8c4DZLvecN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,1,0,3,,,,,,,,,,,,,,,no,6
251,4/27/20 16:00,R_2uV3BDycuOYnHvk,,,,,,,,0,0,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2
698,4/27/20 16:00,R_3ERU909lu3axSkt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,7,20,3,1,1,1,no its obvious,8
236,4/27/20 16:02,R_BDOECo1KVqaOQHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,20,0,0,0,2,no,8
740,4/27/20 16:02,R_3Lhv4EZ0DikwODR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, thank you",4
674,4/27/20 16:03,R_1C7uKjerdcmGdT6,,,,,,,,0,0,20,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Everyone said they will not use the new tube. But what if they are lying? What if more people plant o use the new tube too and they just don't want to admit it? Then you'll have several people using the new tube and no one would know about it and the clams would disappear. For that reason I don't find morally correct that anyone uses the new tube.,2
173,4/27/20 16:03,R_3NO2jWtXGrtaUsc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,4
204,4/27/20 16:03,R_1dGklJ3fpOzErN9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,3
226,4/27/20 16:03,R_cJdgZyOk84Hf6rn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,0,1,0,3,,,,,,,,no,7
893,4/27/20 16:04,R_1GUjTeoeLhOBoDE,,,,,,,,20,0,20,20,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2
62,4/27/20 16:04,R_W1HiCAI5tOI7xwB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,3,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,NOTHING,5
231,4/27/20 16:05,R_1cYa8cfvE6wMMpW,0,20,20,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,1
222,4/27/20 16:05,R_2TKOhAb7pUlqwkz,,,,,,,,,,,,,,,0,20,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,9
237,4/27/20 16:06,R_UYlsyKduAM5jXUZ,0,20,21,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The comprehension questions were confusing. Are there 21 people in the town who go clamming, or 20? The story said John talked to all 20 people, making him number 21. Unless he is including himself. The wording of the questions was also just confusing. ",1
127,4/27/20 16:06,R_2R4A6WxVANFGkZu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,1,0,3,,,,,,,,,,,,,,,Nope!,6
243,4/27/20 16:06,R_PYgeu5JcTxzKdAB,,,,,,,,0,7,20,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nope,2
125,4/27/20 16:06,R_3ELPARgPvcLsNMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,3
799,4/27/20 16:07,R_RqqWevOrjVjnu5H,0,20,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The story said that 20 people regularly dig for clams each year, so since John went to talk to his 20 neighbors about their intentions, I imagined that John is a newcomer and/or someone who is new to clam digging there? When asked how many people would actually use the aluminum tube, I put down zero but we only know what they told John, not what they did in actuality. ",1
309,4/27/20 16:08,R_1dmgB0UXOmiejUF,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,10
346,4/27/20 16:08,R_R8G7ry02hH6yNah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,We actually don't know what the other people will do.,4
140,4/27/20 16:08,R_1hTijFa1Yc5EAlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,0,0,0,2,,,,,,,,no,7
85,4/27/20 16:08,R_2uU8XyfIkKZj07d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,1,0,2,,,,,,,,,,,,,,,no,6
230,4/27/20 16:09,R_2EiyTvpbqcRTGkQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,1,0,3,"It is weird that he got the same exact reasoning from 19 neighbors, but the story was clear.",8
956,4/27/20 16:09,R_qxBHhJkmKYhhJdf,,,,,,,,,,,,,,,0,20,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The comprehension questions did not clearly state that the answers needed to be entered in numbers only. I found out after I had answered with text and it gave me the error message ""Please enter a valid number"".",9
152,4/27/20 16:10,R_2qkEKmI2LBHt5fS,,,,,,,,,,,,,,,,,,,,,,20,20,20,2,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,10
264,4/27/20 16:10,R_3mfoHmvcR66TXKw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,4
153,4/27/20 16:10,R_3JsVkJWEFgvCRtY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,no,5
100,4/27/20 16:11,R_ANkEo887Nwiptol,0,20,20,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1
225,4/27/20 16:11,R_2CIexPDPRPdnyVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,20,0,1,0,3,,,,,,,,no,7
170,4/27/20 16:13,R_2Bm2UgU3cnXuW8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,1,0,3,n/a,8
370,4/27/20 16:14,R_1ewpJKd8IiAPFPr,,,,,,,,,,,,,,,0,20,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two questions in the first section were a bit confusing because they were worded funny. ,9
375,4/27/20 16:14,R_1l0NmlBHXmmDLZl,,,,,,,,0,0,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The questions about the John and the tool. The questions were asking about content that wasn't clearly stated in the article. A lot of inference had to be made in order to answer some of the questions.,2
864,4/27/20 16:14,R_YWxz2OidqoLc6UV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,7,20,3,1,0,1,,,,,,,,,,,,,,,no It was great,6
295,4/27/20 16:15,R_3a6zGaHPMrurQ1X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"When the question was asked if anyone would know if John used the new traps, am I to assume that the 20 people he asked would assume he is using the new traps or refer to earlier in the text where it said that people can’t tell the difference between the old and new traps. That question was a little confusing. ",4
236,4/27/20 16:15,R_1P0E6Ktyzr09rIZ,,,,,,,,0,0,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2
239,4/27/20 16:16,R_2R9en2LkRzRdGWe,,,,,,,,,,,,,,,,,,,,,,20,0,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,10
299,4/27/20 16:16,R_2X1gwIi2JsmC1p3,0,20,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,1
275,4/27/20 16:16,R_2VwryuFfDDYnSMd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,3
208,4/27/20 16:17,R_W8qgVj2pchK8NYB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,20,3,1,0,2,,,,,,,,no,7
255,4/27/20 16:17,R_1hA0xQCFXlnvc9s,,,,,,,,,,,,,,,0,19,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,9
198,4/27/20 16:18,R_3FWjvYhCnxk4zBu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,0,1,0,3,,,,,,,,"I wasn't sure if the last question meant if John alone was using the new knife, or also if anyone else were also in addition to John (although he may not be aware of it)",7
268,4/27/20 16:19,R_2vjGsd1lRRsr1Vr,0,20,20,3,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It was difficult to answer some of the questions because the text didnt state exactly what the questions were asking.,1
204,4/27/20 16:19,R_a4WtQZO69ytnVyV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nope, all clear!",4
1673,4/27/20 16:20,R_3lrYgSUx8ClQvED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,20,0,1,0,3,No,8
852,4/27/20 16:23,R_1MYBnh8B70vXd5X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It did require some thinking for the answers for some of the questions,3
592,4/27/20 16:23,R_1QGzegy2l3Vf4am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,20,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,no,5
181,4/27/20 16:24,R_31QRjUk2bGsoaTk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,20,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,no,5
160,4/27/20 16:24,R_1IbGVmBETHwRjNj,,,,,,,,,,,,,,,0,20,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,9
231,4/27/20 16:25,R_3ewX7WwcIu76UOe,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,10
296,4/27/20 16:26,R_2Ug3MGIQwY9v1MV,,,,,,,,,,,,,,,,,,,,,,7,20,20,3,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,10
213,4/27/20 16:26,R_3PvirCFeYHCGq2v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No, everything was clear.",4
269,4/27/20 16:26,R_2xYrCQgZBXBxUo0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0,20,0,1,0,3,no,8
111,4/27/20 16:26,R_1IFwo0iH3hpTjYV,,,,,,,,0,0,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2
286,4/27/20 16:27,R_UchEogK7GRrEXzX,,,,,,,,20,0,20,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,2
86,4/27/20 16:27,R_3PdxxcJWRjGCABe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,0,0,3,,,,,,,,,,,,,,,,6
405,4/27/20 16:28,R_3oFIN23o18cuGHK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
412,4/27/20 16:28,R_2dZ02kxpNBEw9oD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,20,7,0,0,2,,,,,,,,,,,,,,,No,6
926,4/27/20 16:28,R_24PgFKZhK11eGYI,,,,,,,,,,,,,,,1,20,20,20,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,9
385,4/27/20 16:29,R_3fHOmFOLHLCqiw5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,20,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,no,5
89,4/27/20 16:29,R_3M3sFi3yKZj6D39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,20,0,1,0,2,No,8
331,4/27/20 16:30,R_D6MvYa7u8LI4vSx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,20,0,1,0,3,,,,,,,,No,7
518,4/27/20 16:30,R_3GxH8LUCSJPOQUd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,0,0,2,,,,,,,,,,,,,,,confusing,6
