subjectnumber,dob,dot,age,excluded,reason,notes,screen1,screen2,screen2b,screen3,screen3b,screen4,screen5,story,order,condition,pilotversion,control1,control2,control3,control4,control5,control6,moral,explain
15,2/25/15,6/12/19,4.295890411,0,,,,,,,,,,Sandbox,3,High,6/12/19,,,1,1,0,0,0,he might spill it
15,2/25/15,6/12/19,4.295890411,0,,,,,,,,,,Seashells,1,Low,6/12/19,,,1,0,0,0,0,animals live inside them
16,3/29/16,6/17/19,3.219178082,1,,"Screen 2: ""with help from mom""",0,1,,0,,1,1,,,,,,,,,,,,
17,5/3/09,6/20/19,10.1369863,0,,,0,1,,0,,1,1,Acorns,4,High,6/17/19,1,,1,1,0,0,0,The squirrels wouldn't be able to survive without food.
17,5/1/09,6/18/19,10.1369863,0,,,0,1,,0,,1,1,Buckets,2,Low,6/17/19,1,,1,0,0,0,0,"If she kept doing it, there would be no more water"
17,5/2/09,6/19/19,10.1369863,0,,,0,1,,0,,1,1,Rocks,3,High,6/17/19,1,,1,0,,,0,Because they'll get their shoes muddy
17,4/30/09,6/17/19,10.1369863,0,,,0,1,,0,,1,1,Seashells,1,Low,6/17/19,1,,1,0,0,0,0,The other kids won't be able to get shells when coming to the beach
18,12/28/10,6/17/19,8.473972603,0,,,0,1,,0,,1,1,Acorns,4,High,6/17/19,1,,1,1,0,0,1,"OK to take a few, but make sure some are left"
18,12/28/10,6/17/19,8.473972603,0,,,0,1,,0,,1,1,Buckets,2,High,6/17/19,1,,1,1,0,0,1,"She will only take one bucket, which will be okay for the fish"
18,12/28/10,6/17/19,8.473972603,0,,,0,1,,0,,1,1,Rocks,3,Low,6/17/19,1,,1,0,0,0,1,Just make sure the rocks don't hit anyone
18,12/28/10,6/17/19,8.473972603,0,,,0,1,,0,,1,1,Seashells,1,Low,6/17/19,1,,1,0,0,0,1,Safe (no crabs) and nothing is living in them. No harm in taking.
19,12/28/10,6/17/19,8.473972603,0,,,0,1,,0,,1,1,Acorns,4,Low,6/17/19,1,,1,0,,0,1,there would still be acorns left
19,12/28/10,6/17/19,8.473972603,0,,,0,1,,0,,1,1,Buckets,1,High,6/17/19,1,,1,1,0,0,1,there would still be water left
19,12/28/10,6/17/19,8.473972603,0,,,0,1,,0,,1,1,Rocks,2,Low,6/17/19,1,,1,0,,0,1,there will still be rocks left
19,12/28/10,6/17/19,8.473972603,0,,,0,1,,0,,1,1,Seashells,3,High,6/17/19,1,,1,1,0,0,1,there would still be more shells around the beach
20,2/14/12,6/17/19,7.342465753,0,,,0,1,,0,,1,1,Buckets,1,High,6/17/19,1,,1,1,0,0,0,Because the water will be gone
20,2/14/12,6/17/19,7.342465753,0,,,0,1,,0,,1,1,Rocks,3,High,6/17/19,1,,1,1,0,0,0,Nobody can get the rocks.
20,2/14/12,6/17/19,7.342465753,0,,,0,1,,0,,1,1,Seashells,2,Low,6/17/19,1,,1,0,0,,0,No shells will be left and no one else can take them
21,12/13/14,6/17/19,4.512328767,0,Failed screen; but seemed to think stepping on the mouse was funny,,0,1,,1,,1,1,Rocks,1,High,6/17/19,1,,1,1,0,0,1,Only took one rock and not two
22,1/5/12,6/17/19,7.452054795,0,,,0,1,,0,,1,1,Buckets,1,Low,6/17/19,1,,1,0,0,0,0,the fish will only have a little bit of water
22,1/5/12,6/17/19,7.452054795,0,,,0,1,,0,,1,1,Seashells,2,High,6/17/19,1,,1,1,0,,0,"if other people want to take shells, there wont be any left"
23,2/25/10,6/17/19,9.312328767,0,,,0,1,,0,,1,1,Buckets,2,Low,6/17/19,1,,1,0,0,0,0,Other kids won't be happy.
23,2/25/10,6/17/19,9.312328767,0,,,0,1,,0,,1,1,Seashells,1,High,6/17/19,1,,1,1,2,0,0,***
24,1/29/13,6/17/19,6.383561644,1,Could not concentrate; failed control questions,,0,1,,0,,1,1,Buckets,2,Low,6/17/19,,,1,,,,0,Not supposed to put water on the castle. 
24,1/29/13,6/17/19,6.383561644,0,,,0,1,,0,,1,1,Seashells,1,High,6/17/19,1,,1,1,0,0,1,He doesn't want anyone else taking any.
25,10/1/13,6/17/19,5.712328767,0,,,0,1,,0,,1,1,Buckets,1,High,6/17/19,1,,1,1,2,0,0,There might not be any water left in the pond.
25,10/1/13,6/17/19,5.712328767,0,,,0,1,,0,,1,1,Rocks,2,Low,6/17/19,1,,1,0,0,0,0,There won't be any rocks left in the path; Tim might take all the rocks.
26,10/22/10,6/17/19,8.657534247,0,,,0,1,,0,,1,1,Buckets,1,High,6/17/19,1,,1,1,0,0,0,"When people are there, she doesn't do it.  When they aren't, she doesn't.  It's ""rude."" "
26,10/22/10,6/17/19,8.657534247,0,,,0,1,,0,,1,1,Rocks,2,Low,6/17/19,1,,1,0,,0,0,"If other people have rock collections, it isn't fair.  But if no one has a rock collection, it's okay."
27,8/6/13,6/17/19,5.865753425,0,,,0,1,,0,,1,1,Buckets,1,Low,6/17/19,1,,1,0,0,0,1,Not all the water will be gone.
28,8/19/12,6/23/19,6.846575342,0,,,0,1,,0,,1,,Buckets,1,High,6/23/19,1,,1,2,0,0,0,Fish won't have water left.
28,8/19/12,6/23/19,6.846575342,0,,,0,1,,0,,1,,Rocks,2,Low,6/23/19,1,,1,0,0,0,0,Because there would be less rocks.
29,2/19/13,6/23/19,6.342465753,0,,,0,1,,0,,1,,Buckets,1,Low,6/23/19,1,,1,0,0,0,0,Because no more fish
29,2/19/13,6/23/19,6.342465753,0,,,0,1,,0,,1,,Rocks,2,High,6/23/19,1,,1,1,0,0,0,Because there's no more rocks.
30,9/15/10,6/23/19,8.775342466,0,,,0,1,,0,,1,,Buckets,1,High,6/23/19,1,,1,,0,0,0,because they all promised they wouldn't take water from the lake
30,9/15/10,6/23/19,8.775342466,0,,,0,1,,0,,1,,Rocks,2,Low,6/23/19,1,,1,0,0,0,0,they said they wouldn't take rocks from the path
31,6/17/10,6/23/19,9.021917808,0,,,0,1,,0,,1,,Buckets,1,Low,6/23/19,1,,1,0,0,0,0,"""What did they fish ever do to you"""
31,6/17/10,6/23/19,9.021917808,0,,,0,1,,0,,1,,Rocks,2,High,6/23/19,1,,1,1,0,0,0,rocks are a part of nature; taking the rocks would make everyone sad
32,2/11/11,6/23/19,8.367123288,0,said ok to step on mouse because he's afraid of mice,,0,1,,1,,1,,Buckets,1,Low,6/23/19,1,,1,0,0,0,0,fish will have less water
32,2/11/11,6/23/19,8.367123288,0,said ok to step on mouse because he's afraid of mice,,0,1,,1,,1,,Rocks,2,High,6/23/19,1,,1,1,0,0,0,no one will know where to go
33,11/3/11,6/24/19,8.367123288,0,no-->maybe-->no during third screen story,,0,1,0,0,0,1,,Buckets,1,High,6/24/19,1,,1,1,0,0,0,The water would run out
33,11/3/11,6/24/19,8.367123288,0,no-->maybe-->no during third screen story,,0,1,0,0,0,1,,Rocks,2,Low,6/24/19,1,,1,0,not asked,0,0,Jacob will take more rocks
35,1/17/14,6/24/19,5.435616438,0,,,0,1,0,0,0,1,,Buckets,1,Low,6/24/19,1,,1,0,,0,0,There would be no water in the lake.
35,1/17/14,6/24/19,5.435616438,0,,,0,1,0,0,0,1,,Rocks,2,High,6/24/19,1,,1,1,0,0,1,There would be more left
36,9/22/14,6/24/19,4.756164384,1,Incomplete,,0,1,0,0,0,1,,,,,,,,,,,,,
36,10/5/09,6/24/19,9.723287671,0,,When asked 'what would happen if one person took water?' said that everyone would start doing it,0,1,0,0,0,1,,Buckets,1,Low,6/24/19,1,,1,0,,0,1,Because there will still be water
36,10/6/09,6/25/19,9.723287671,0,,,0,1,0,0,0,1,,Rocks,2,High,6/24/19,1,,1,2,0,0,1,It's just once
37,10/21/09,6/24/19,9.679452055,0,,,0,1,0,0,0,1,,Buckets,1,High,6/24/19,1,,1,1,0,0,0,Because the other kids want to do it
37,10/21/09,6/24/19,9.679452055,0,,,0,1,0,0,0,1,,Rocks,2,Low,6/24/19,1,,1,0,0,0,1,There would still be rocks left
38,8/6/13,6/17/19,5.865753425,0,,,0,1,,0,,1,1,Rocks,2,High,6/17/19,1,,1,1,0,0,1,Okay for him to take one rock and one rock only. 
38,10/11/08,6/24/19,10.70684932,0,,,0,1,0,0,0,1,,Buckets,1,Low,6/24/19,1,,1,0,,0,1,She'll just take a little
38,10/11/08,6/24/19,10.70684932,0,,,0,1,0,0,0,1,,Rocks,2,High,6/24/19,1,,1,,0,0,0,Because he's the only one who took it
39,8/12/11,6/24/19,7.871232877,0,,,0,1,0,0,0,1,,Buckets,1,High,6/24/19,1,,1,1,0,0,1,She's not taking a lot of water
39,8/12/11,6/24/19,7.871232877,0,,,0,1,0,0,0,1,,Rocks,2,Low,6/24/19,1,,1,0,0,,1,Because he's only taking one rock
40,1/2/15,6/24/19,4.476712329,1,failed control question,,0,1,0,0,0,1,,Buckets,1,Low,6/24/19,1,,1,0,,0,0,It would turn to mud
40,1/2/15,6/24/19,4.476712329,1,failed control question,,0,1,0,0,0,1,,Rocks,2,High,6/24/19,1,,1,1,0,0,0,Just because...Because the rocks will fall
41,1/27/12,6/24/19,7.410958904,1,didn't pass what would happen if just one person did it,,0,1,0,0,0,1,,Buckets,1,High,6/24/19,1,,1,,0,0,0,Because the lake will only have a little bit of water
41,1/27/12,6/24/19,7.410958904,1,^,,0,1,0,0,0,1,,Rocks,2,Low,6/24/19,1,,1,0,,0,0,There would only be a little bit of rocks.
42,4/3/12,6/24/19,7.22739726,0,,,0,1,0,0,0,1,,Buckets,1,Low,6/24/19,1,,1,0,,0,1,Because there would still be water
42,4/3/12,6/24/19,7.22739726,0,,,0,1,0,0,0,1,,Rocks,2,High,6/24/19,1,,1,1,,0,1,There would still be rocks left
43,11/3/14,6/24/19,4.64109589,0,,,0,1,0,0,0,1,,Buckets,1,High,6/24/19,1,,1,1,,0,0,Becuase there's going to be more water
43,11/4/14,6/25/19,4.64109589,0,,,0,1,0,0,0,1,,Rocks,2,Low,6/24/19,1,,1,0,,0,1,Because no one else is going to take one
44,4/20/14,6/24/19,5.180821918,0,,,0,1,0,0,0,1,,Buckets,1,low,6/24/19,1,,1,0,not asked,0,1,
44,4/20/14,6/24/19,5.180821918,0,,,0,1,0,0,0,1,,Rocks,2,high,6/24/19,1,,1,1,not asked,0,1,
45,11/29/14,6/24/19,4.569863014,1,changed answers; failed screen,,0,1,0,0,0,0,,,,,,,,,,,,,
46,6/23/10,6/26/19,9.01369863,0,,,0,1,0,0,0,1,,Buckets,1,high,6/24/19,1,1,1,,0,0,1,She's just doing it once and there will still be water
46,6/23/10,6/26/19,9.01369863,0,,,0,1,0,0,0,1,,Rocks,2,low,6/24/19,1,1,1,0,,0,1,He's only doing it once and there'd still be plenty of rocks
47,12/1/10,6/26/19,8.57260274,0,,,0,1,0,0,0,1,,Buckets,1,low,6/24/19,1,1,1,0,,0,1,Because there would still be water left
47,12/1/10,6/26/19,8.57260274,0,,,0,1,0,0,0,1,,Rocks,2,high,6/24/19,1,1,1,1,0,0,1,There would still be plenty of rocks
48,3/21/09,6/26/19,10.27123288,0,,,0,1,0,0,0,1,,Buckets,1,high,6/24/19,1,1,1,1,0,0,1,She's the only one doing it
48,3/21/09,6/26/19,10.27123288,0,,,0,1,0,0,0,1,,Rocks,2,low,6/24/19,1,2,1,0,,0,1,"If nobody else wants, it's okay"
49,7/7/10,6/26/19,8.975342466,0,,,0,1,0,0,0,1,,Buckets,1,low,6/24/19,1,1,1,0,,0,1,Probably leave enough water for the fish
49,7/7/10,6/26/19,8.975342466,0,,,0,1,0,0,0,1,,Rocks,2,high,6/24/19,1,1,1,1,0,0,1,There's a lot of rocks and he's just taking one
50,8/24/12,6/26/19,6.84109589,0,,,0,1,0,0,0,1,,Buckets,1,High,6/26/19,1,1,1,1,0,0,0,she's wasting water
50,8/24/12,6/26/19,6.84109589,0,,,0,1,0,0,0,1,,Rocks,2,Low,6/26/19,1,1,1,0,,0,0,it's wasting rocks from the path
51,3/10/13,6/26/19,6.298630137,0,,,0,1,0,0,0,1,,Buckets,1,Low,6/26/19,1,1,1,0,,0,1,then the fish will be able to live
51,3/10/13,6/26/19,6.298630137,0,,,0,1,0,0,0,1,,Rocks,2,High,6/26/19,1,1,1,1,0,0,1,all the rocks...he just takes one
52,7/22/12,6/26/19,6.931506849,0,,,0,1,0,0,0,1,,Buckets,1,High,6/26/19,1,1,1,1,0,0,1,because there'd still be water in the lake
52,7/22/12,6/26/19,6.931506849,0,,,0,1,0,0,0,1,,Rocks,2,Low,6/26/19,1,1,1,0,,0,1,because there'd still be enough
53,9/10/14,6/26/19,4.794520548,0,,,0,1,0,0,0,1,,Buckets,1,Low,6/26/19,1,2,1,0,,0,1,because there's plenty of water
53,9/10/14,6/26/19,4.794520548,0,,,0,1,0,0,0,1,,Rocks,2,High,6/26/19,1,1,1,1,0,,1,because there's plenty more
54,11/16/10,26-Jun,8.61369863,0,,,0,1,0,0,0,1,,Buckets,1,High,6/26/19,1,1,1,1,0,0,1,"If she did it more than once, there wouldn't be enough water."
54,11/16/10,6/26/19,8.61369863,0,,,0,1,0,0,0,1,,Rocks,2,Low,6/26/19,1,1,1,0,,0,1,"If he took it more than once, there wouldn't be enough."
55,9/25/11,6/26/19,7.756164384,0,,,0,1,0,0,,1,,Buckets,1,Low,6/26/19,1,1,1,0,,0,1,Because she's just doing it once.
55,9/25/11,6/26/19,7.756164384,0,,,0,1,0,0,?????,??????,,Rocks,2,High,6/26/19,1,1,1,1,0,0,1,"**Initially said ""not okay""; actually it's okay because he'll only take one"
,,,,,,,,,,,,,,Rocks,4,Low,6/12/19,,,1,0,0,0,1,He can return one of this rocks
56,2/11/14,6/26/19,5.37260274,0,,,0,1,0,0,0,1,,Buckets,1,High,6/26/19,1,2,1,1,0,0,1,Because none of your friends are there and they won't go there
56,2/11/14,6/26/19,5.37260274,0,,,0,1,0,0,0,1,,Rocks,2,Low,6/26/19,1,1,1,0,,0,1,Because no one's there
57,11/30/09,6/26/19,9.575342466,0,,,0,1,0,0,0,1,,Buckets,1,Low,6/26/19,1,2,1,0,,0,1,Because she's just doing it once...otherwise it would be not okay
57,11/30/09,6/26/19,9.575342466,0,,,0,1,0,0,0,1,,Rocks,2,High,6/26/19,1,1,1,1,0,0,1,Because he's just doing it just this once
58,5/11/12,7/1/19,7.142465753,0,,,0,1,0,0,0,1,,Buckets,1,High,6/26/19,1,1,1,1,0,0,0,She shouldn't do that because all the other kids will think it's okay and there will be no more water left.
58,5/11/12,7/1/19,7.142465753,0,,,0,1,0,0,0,1,,Rocks,2,Low,6/26/19,1,1,1,0,,0,0,The same reason as before.  Somebody might see him.
59,12/2/13,7/1/19,5.580821918,0,,,0,1,0,0,0,1,,Buckets,1,Low,6/26/19,1,1,1,0,,0,1,Because there's going to be more water left.
59,12/2/13,7/1/19,5.580821918,0,,,0,1,0,0,0,1,,Rocks,2,High,6/26/19,1,1,1,1,0,0,1,Because there's going to be more rocks left.
60,2/20/10,7/1/19,9.364383562,0,,,0,1,0,0,0,1,,Buckets,1,High,6/26/19,1,1,1,1,0,0,1,It's okay for one person to take water because none of the other kids are going to see her do it.
60,2/20/10,7/1/19,9.364383562,0,,,0,1,0,0,0,1,,Rocks,2,Low,6/26/19,1,1,1,0,,0,1,Because it's only one rock and he's not going to take the whole path and no one will see him do it.
61,6/9/09,7/1/19,10.06575342,0,,,0,1,0,0,0,1,,Buckets,1,Low,6/26/19,1,1,1,0,,0,1,If it's a preserved area then it's not okay but if it's not then it's okay
61,6/9/09,7/1/19,10.06575342,0,,,0,1,0,0,0,1,,Rocks,2,High,6/26/19,1,1,1,1,0,0,1,
62,2/19/11,7/1/19,8.367123288,0,,,0,1,0,0,0,1,,Buckets,1,High,6/26/19,1,1,1,1,0,0,0,Because it's against the rules
62,2/19/11,7/1/19,8.367123288,0,,,0,1,0,0,0,1,,Rocks,2,Low,6/26/19,1,1,1,0,,0,1,Because he's the only one who likes rocks
63,7/16/12,7/1/19,6.961643836,0,,,0,1,0,0,0,1,,Buckets,1,Low,6/26/19,1,1,1,0,,0,1,She'll only take one scoop of water
63,7/16/12,7/1/19,6.961643836,0,,,0,1,0,0,0,1,,Rocks,2,High,6/26/19,1,1,1,1,0,0,1,If he only takes one rock it's fine
64,2/8/10,7/1/19,9.397260274,0,,,0,1,0,0,0,1,,Buckets,1,High,6/26/19,1,1,1,1,0,0,0,Because she's doing it in secret and all the other kid want to take water too
64,2/8/10,7/1/19,9.397260274,0,,,0,1,0,0,0,1,,Rocks,2,Low,6/26/19,1,1,1,0,,0,1,Because no one else wants to and he'll do it just this once
65,8/11/13,7/1/19,5.890410959,0,,,0,1,0,0,0,1,,Buckets,1,Low,6/26/19,1,1,1,0,,0,1,Because it's just one bucket
65,8/11/13,7/1/19,5.890410959,0,,,0,1,0,0,0,1,,Rocks,2,High,6/26/19,1,1,1,1,0,0,1,Because it's just one rock
66,6/4/13,7/1/19,6.076712329,0,,,0,1,0,0,0,1,,Buckets,1,Low,6/26/19,1,1,1,1,0,0,1,The water's not gone
66,6/4/13,7/1/19,6.076712329,0,,,0,1,0,0,0,1,,Rocks,2,High,6/26/19,1,1,1,0,,0,1,There's lots of rocks left
67,10/22/11,7/1/19,7.695890411,0,,,0,1,0,0,0,1,,Buckets,1,Low,6/26/19,1,1,1,0,,0,0,Fish would have less water; germ problem; waste of water
67,10/22/11,7/1/19,7.695890411,0,,,0,1,0,0,0,1,,Rocks,2,High,6/26/19,1,1,1,1,0,0,0,It's not fair to the other kids
68,6/28/09,7/1/19,10.01369863,0,,,0,1,0,0,0,1,,Buckets,1,High,6/26/19,1,1,1,1,0,0,1,It wouldn't matter if just this once
68,6/28/09,7/1/19,10.01369863,0,,,0,1,0,0,0,1,,Rocks,2,Low,6/26/19,1,1,1,0,,0,1,None of the other kids want one
69,1/2/12,7/2/19,7.501369863,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,1,"(originally not okay ""Because it's the fish's."") Changed to okay because there's no one else around"
69,1/2/12,7/2/19,7.501369863,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,1,Because nobody will do it and nobody will do the same thing
70,10/4/11,7/2/19,7.747945205,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,There will only be a little bit of water left
70,10/4/11,7/2/19,7.747945205,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,No one will see him do it
71,1/8/14,7/2/19,5.482191781,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,Because the fish will die if she takes some water
71,1/8/14,7/2/19,5.482191781,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,0,"""I don't know"""
72,10/5/08,7/2/19,10.74520548,1,"Couldn't answer ""Do the kids want to..."" correctly",,? (not marked on sheet),? (not marked on sheet),0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,0,0,0,0,The fish wouldn't have as much water to swim in and the water might be bad for Mary
72,10/5/08,7/2/19,10.74520548,0,,,? (not marked on sheet),? (not marked on sheet),0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,There are so many rocks to go around and it's only one rock
73,11/3/13,7/2/19,5.663013699,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,1,The water won't waste
73,11/3/13,7/2/19,5.663013699,1,"Got ""What would happen if one person...?"" wrong",,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,0,1,1,0,0,1,He can put another rock ther and no one will know about it
74,11/3/13,7/2/19,5.663013699,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,It will still leak out
74,11/3/13,7/2/19,5.663013699,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,"It's just gonna be one, he's not gonna take all of them"
75,10/10/12,7/2/19,6.728767123,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,If she keeps doing it she might take too much
75,10/10/12,7/2/19,6.728767123,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,0,Because if he takes more of them there might be no path
76,5/12/14,7/2/19,5.142465753,0,,,0,1,0,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,I don't know
76,5/12/14,7/2/19,5.142465753,0,,,0,1,0,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,1,Because there still would be pelnty of rocks
77,12/12/14,7/2/19,4.556164384,1,Failed screen,,1,1,0,0,0,0,,,,,,,,,,,,,
78,12/23/10,7/2/19,8.528767123,0,,,0,1,2,0,0,1,,Buckets,1,High,7/2/19,1,1,1,1,0,0,0,If she does it then her other friends will want to do it
78,12/23/10,7/2/19,8.528767123,0,,,0,1,2,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,0,Because the friends said they want to take rocks
79,5/16/09,7/2/19,10.13424658,0,,,0,1,0,0,0,1,,Buckets,1,Low,7/2/19,1,1,1,0,,0,0,Because she's taking water away from the lake where fish live and maybe the fish won't survive
79,5/16/09,7/2/19,10.13424658,0,,,0,1,0,0,0,1,,Rocks,2,High,7/2/19,1,1,1,1,0,0,0,Because it's not okay to take rocks from somewhere and it's not okay to do something when no one else is there
80,1/5/14,7/2/19,5.490410959,0,,,0,1,2,0,0,1,,Buckets,1,High,7/2/19,1,1,,1,0,0,0,Because then there would be no water for the fish
80,1/5/14,7/2/19,5.490410959,0,,,0,1,2,0,0,1,,Rocks,2,Low,7/2/19,1,1,1,0,,0,0,It would be naughty
