duration,data,subjectcode,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,za,zb,zc,zd,ze,zf,zg,zh,age,gender,race,ethnicity,education,comments
236,7/2/19 10:51,R_dgprOSKhQOleVyx,The fish would be okay.,The fish would not be okay because too much water would be gone from the lake.,Put water in her sand castle.,0,0,1,No one else wants to do it. She wouldn't be harming the fish or anyone else.,,Take a rock from the path for his rock collection.,1,The path would still be usable.,The path wouldn't have enough rocks on it.,0,0,0,,"If everyone else is being selfless by not taking the rock, then Jacob should not be selfish.",,,,,,,,,,,,,,,,,,25,1,5,2,3,Nothing was unclear.
148,7/2/19 10:51,R_2VsCHTggC1kYNNv,,,,,,,,,,,,,,,,,,pour water into toy castle,1,nothing,no water for fish,0,0,1,Water replenishes itself,,not much,no more rocks,take a rock,0,0,1,Its just one rock,,24,1,5,2,3,no
217,7/2/19 10:51,R_3jfmTZ8jobwLaoz,,,,,,,,,,,,,,,,,,Fill a bucket with water and pour it on her toy castle.,1,There would be plenty of water left for the fish.,There would be no more water left for the fish.,0,0,0,,"If everyone did that while thinking no one saw, there would eventually be no more water in the lake for the fish.",There would be plenty of rocks left for the path.,There would be no more rocks left for the path.,Take a rock from the path to add to his rock collection.,0,0,1,"No one else wishes to take a rock, so the amount of rocks on the path would be unaffected. ",,27,2,3,2,2,No
236,7/2/19 10:51,R_W8tLg0BamhqAuRP,Still a lot of water in the lake.,No more water in the lake.,Take water to put on her castle.,0,0,1,Because there's plenty of water in the lake.,,Take a rock on the path to add to his rock collection.,1,Still a lot of rocks on the path.,No more rock on the path.,0,0,0,,Because Jacob has to set up good example.,,,,,,,,,,,,,,,,,,33,1,2,2,3,Nope.
241,7/2/19 10:51,R_2y3OiQDonRaf9ho,There would be plenty left for the fish,There would be no more water in the lake for the fish,put water on her castle,0,0,1,If she is the only one taking water than there will be plenty left for the fish,,Take a rock from the path for his collection,1,There would be plenty of rocks left on the path,There would be no more rocks left on the path,0,0,1,He is the only one taking a rock so there will be plenty left on the path,,,,,,,,,,,,,,,,,,,65,1,1,2,2,no
182,7/2/19 10:51,R_s5ryEJIREndMOI1,,,,,,,,,,,,,,,,,,pour water on their sand castles,1,would be plenty of water left,no more water,0,0,1,its just water,,Would be plenty of rocks left,no more rocks,take a rock from the path,0,0,1,because its just a rock,,26,1,5,2,1,
211,7/2/19 10:51,R_3suYLedNDpXsBqs,,,,,,,,,,,,,,,,,,ruin the toy castle,1,plenty of water left in lake for fish,no water left in the lake,0,0,0,,Because she is purposely wants nobody to see her do it,plenty of rocks in the path,no more rocks left in the path,take rocks from the path,0,0,0,,he wants nobody to see him,19,1,5,2,2,no
242,7/2/19 10:51,R_VPaqv29bJaj5LgZ,,,,,,,,,,,,,,,,,,pour water on her castle,1,nothing,no water for the fish ,0,0,1,Taking one bucket of water won't hurt anything ,,nothing,the path would disappear ,take a rock,0,0,1,"Taking one rock will not hurt anything
",,39,1,5,2,2,no
204,7/2/19 10:51,R_1ouLvBpn1othUFT,,,,,,,,,,,,,,,,,,Fill a bucket with water from the lake and pour it on her toy castle.,1,There will still be plenty of water left for the fish.,There would be no more water in the lake for the fish.,0,0,0,,She should behave in a way that she expects her group to behave.,There would still be plenty of rocks left on the path.,There would be no more rocks left on the path.,Take a rock from the path.,0,0,0,,I think that people should behave in a way that they expect other people to behave.,26,1,5,2,3,No
273,7/2/19 10:51,R_3CJfnsYsr5J4xeA,There would still be enough for the fish,There would no longer be enough for the fish,Take water from the lake to put onto her castle,0,0,1,"Because just her taking the water wont hurt the fish. Not only is there nobody to see her do it, even if there were they don't want to join in anyways.",,Add a rock to his collection,1,The path would have plenty of rocks,There wouldn't be any rocks left on the path,0,0,0,,"Because it's agreed upon that everyone wants to do it but it would be bad so nobody should do it. If jacob says it's okay because nobody else will see, every other kid could also apply that logic resulting in them all secretly doing it.",,,,,,,,,,,,,,,,,,28,1,5,2,2,No.
222,7/2/19 10:52,R_tVQA0XX7NpcHzZ7,there will still be plenty of water left for the fish,there would be no more water in the lake for the fish,take water from the lake,0,0,0,,Because there are bound to be more kids like Mary and eventually the water would be depleted from the lake.,take a rock from the path to add to his rock collection,1,there would still be plenty of rocks left on the path,there would be no more rocks left on the path,0,0,0,,"Because what if everyone thought the same way Jacob does? Eventually, there would be no more rocks left on the path.",,,,,,,,,,,,,,,,,,39,2,5,2,3,No
113,7/2/19 10:52,R_2WDqCxS5QRggerS,,,,,,,,,,,,,,,,,,Fill a bucket with water.,1,There would still be water,There would be no water,0,0,0,,Finite resources.,It would be okay,There would be no rocks left,collect rocks,0,1,1,They are rocks.,,25,1,5,2,3,
274,7/2/19 10:52,R_2TZbzNX1H8vZnQb,,,,,,,,,,,,,,,,,,fill a bucket with water from the lake and pour it on her toy castle,1,there will still be plenty of water left for the fish,there would be no more water in the lake for the fish,0,0,1,There is plenty of water in the lake and 1 bucket will not effect it.,,there would still be plenty of rocks left on the path,then there would be no more rocks left on the path.,Take a rock from the path for his rock collection,0,0,1,One rock will not make a difference from the path and no one else wants to take a rock.,,31,1,5,2,3,no
284,7/2/19 10:52,R_3MbZHxUQlRmP8vZ,there would be plenty of water for the fish,no more water for the fish,pour water on her castle,0,0,1,it wouldnt affect the water level in the lake. and she would see what the water would do to her castle and where water sprays,,take a rock from the path for his rock collection,1,plenty of rocks left on path,no more rocks left on path,0,0,1,plenty of rocks left on the path,,,,,,,,,,,,,,,,,,,53,1,5,2,3,na
153,7/2/19 10:52,R_24bKHwyNXlAm4BG,Plenty of water left for fish.,No more water in the lake for fish,Wants to drop water on her castle,0,0,1,None of the other kids want to. Water would still be left for fish.,,Get a rock from the path,1,There would be plenty of rocks left on the path,There would be no more rocks on the path,0,0,0,,Because it would be morally wrong from what he and his friends discussed,,,,,,,,,,,,,,,,,,32,1,2,2,4,no
291,7/2/19 10:52,R_1rB4KhXbPcDsgVz,There would be enough water left,There would not be enough water left,Take water out of the lake,0,0,1,The lake is not in danger of running out of water because only she wants to do it,,Take a rock from a park path and put it in his collection.,1,There would still be many rocks left,No rocks would be left,0,0,0,,He doesn't now whether the other kids will have the same idea.,,,,,,,,,,,,,,,,,,34,1,5,2,1,No
220,7/2/19 10:52,R_3GfZdpO7lUZXC6o,,,,,,,,,,,,,,,,,,Fill the bucket of water from the lack to pour in her toy castle. ,1,Ther would still be water,There would be no water left,0,0,0,,Because all the kids wanted to do it ,There would still be plenty of rocks left,there would be no more rocks left,Take a rock form the path,0,0,1,"Because it said if only one person took a rock, there would be plenty left. ",,25,2,5,2,3,
235,7/2/19 10:52,R_r2YNf238aoLbKY9,There will still be plenty of water for the fish,There would be no more water in the lake for the fish,She wants to take water from the lake,0,0,1,Because it will not harm the lake level,,He would love to take one of the rocks from the path and put it in his rock collection,1,There qould still be plenty of rocks left on the patg,There would be no more rocks left on the path,0,0,0,,"Everyone wants to, but doesnt",,,,,,,,,,,,,,,,,,32,2,5,2,3,
226,7/2/19 10:52,R_8IJwi6BoAz0xQsN,there would be plenty of water left for the fish,there would be no more water in the lake for the fish,take water for her castle,0,0,0,,because she's doing it secretly,take rocks from the park for his rock collection,1,there would be plenty left,there would be no more rocks on the path,0,0,0,,because he is doing it secretively and the other kids have not taken any,,,,,,,,,,,,,,,,,,52,2,6,1,3,no
279,7/2/19 10:52,R_2c0Jw2XvuEiTVVS,,,,,,,,,,,,,,,,,,pour water on her toy castle.,1,There would still be water.,There will be no more water. ,0,0,1,It is a lake it really won't run out of water. ,,There would still be plenty of rocks.,There would be no more rocks. ,take a rock,0,0,1,It's just a rock. ,,31,1,5,2,3,No
190,7/2/19 10:52,R_2TmDjuPoMFkpPxB,Enough water for fish,No more water for fish,to be wet ,0,0,1,If she is the only one doing it there is no harm according to the earlier passage,,take rocks from the path,1,enough rocks for everyone,no rocks left,0,0,1,Same logic as before its just one person,,,,,,,,,,,,,,,,,,,22,1,5,2,3,
293,7/2/19 10:52,R_UgpsWWg1YmrDr33,,,,,,,,,,,,,,,,,,Fill a bucket with water from the lake and pour it on her toy castle,1,there will be plenty of water left for the fish,there will not be enough water for the fish,0,0,0,,Because it will become a habit of hers and she will like to do it every time.,There would be no rocks left.,There would be no rocks left.,Take a rock for his rock collection,0,0,0,,Because if other people see him do it and they start doing it then there will be no rocks left,26,2,5,2,2,nope
257,7/2/19 10:52,R_20V8qrPPx2MQDlo,,,,,,,,,,,,,,,,,,Mary wants to fill her bucket with water from the lake and pour it on the toy castle. ,1,There would still be enough water for the fish.,There would be no more water in the lake.,0,0,1,It would just be one person taking water from the lake.,,There would be enough rocks left.,There would not be enough rocks left.,He takes rocks from the path.,0,0,1,He would be the only one so there would be rocks left.,,28,2,5,2,2,no
284,7/2/19 10:52,R_1oBcDd1w4C4BDZy,There would still be enough water for the fish.,There would not be enough water for the fish.,Take water from the lake.,0,0,1,Because no one else wants to.,,Take a rock,1,Still plenty of rocks,No more rocks,0,0,0,,Because everyone else wants one too,,,,,,,,,,,,,,,,,,39,2,5,2,2,No
247,7/2/19 10:52,R_3GksJeh5k3qqQzd,,,,,,,,,,,,,,,,,,Mary wants to fill a bucket with water from the lake and pour it on her toy castle. ,1,There will be plenty of water left for the fish. ,Then there would be no more water left in the lake. ,0,0,1,It would be ok because it's only Mary taking water from the lake. ,,There will still be rocks left. ,There will be no more rocks left. ,Jacob wants to take the rocks. ,0,0,1,It's ok for Jacob to take a rock because there will be plenty of rocks left. ,,36,2,2,2,3,n/a
274,7/2/19 10:52,R_1EYXFOCKlyczyVo,,,,,,,,,,,,,,,,,,Fill a bucket with water from the lake and pout it on her toy castle,1,There would be plenty of water left for the fish,There would be no more water left for the fish.,0,0,1,If she takes a bucket of water there will be plenty of water left for the fish.,,There would be plenty of rocks left on the path.,There would be no more rocks left on the path.,To take rocks from the path.,0,0,1,Because there are plenty of rocks left.,,58,1,5,2,2,nope
208,7/2/19 10:52,R_3m4BRWCSlzDsxX9,,,,,,,,,,,,,,,,,,Pour water from the lake on her castle.,1,Nothing would happen as there is plenty of water.,There would be no more water,0,0,1,People expect to use water when they are at the lake. It's no different than people coming out wet with water.,,I dont think anyone would notice if one rock was missing.,That could be a bigger issue as people may start noticing that they are missing.,Take a rock,0,0,1,"The path is covered with millions of rocks, so taking one is not an issue.",,45,2,5,2,3,no
219,7/2/19 10:52,R_3dKS32SZq8tC9p2,,,,,,,,,,,,,,,,,,Fill her bucket with lake water and pour it on her castle.,1,There would still be plenty of water left.,There would be no more water.,0,0,0,,I think it's not OK because there are a lot of things that could happen with the lake water.,There would still be a lot of rocks on the path.,There would be no more rocks on the path.,Take rocks from the path,0,0,1,I think it would be OK because it isn't really hurting anything and there are a lot of rocks on the path.,,41,2,5,2,3,No
247,7/2/19 10:52,R_1hMdxnWaB4ByolZ,There will be plenty of water left for the fish.,There will be no water left in the lake for the fish.,She wants to take water from the lake. ,0,0,1,"Because there is plenty of water left for the fish. The water cycle ensures that after Mary does this, the water will eventually end up back in the ocean.",,Take one of the rocks from the path and put it in his collection.,1,There would be plenty of rocks left on the path.,There would be no rocks left on the path.,0,0,1,Because there will still be plenty of rocks left and many more rocks exist in the world. ,,,,,,,,,,,,,,,,,,,25,2,5,2,2,No
308,7/2/19 10:52,R_10ZYxmpj8g98vxL,there will still be plenty left,there will be no more water in the lake,pour water from the lake on her castle,0,0,1,there is still plenty of water,,Take a rock and put it in his collection,1,there would still be plenty of rocks left,there would be no more rocks on the path,0,0,0,,"because if everyone does that thinking no one will know, there will be no rocks left",,,,,,,,,,,,,,,,,,47,2,6,2,2,nothing
137,7/2/19 10:52,R_2v81zDfMgN8OOvB,,,,,,,,,,,,,,,,,,Mary would like to fill a bucket with water from the lake and pour it on her toy castle.,1,There will still be plenty of water left for the fish.,There would be no more water in the lake for the fish.,0,0,0,,Everyone else isn't. She shouild be moral.,There would still be plenty of rocks left on the path.,There would be no more rocks left on the path.,Take a rock.,0,0,0,,Everyone else agreed not to,22,2,2,2,3,
204,7/2/19 10:52,R_0iW6I37SP4IsDDP,There will still be plenty left for the fish.,There would be no more water for the fish.,Take water from the lake to put on her toy castle.,0,0,1,Because no one else wants water so it won't affect the fish.,,Take a rock from the path for his rock collection.,1,There will be plenty rocks left on the path.,There would be no more rocks left on the path.,0,0,0,,Because there would be none left on the path because others may want to do the same.,,,,,,,,,,,,,,,,,,7,2,2,2,4,no
288,7/2/19 10:52,R_9mBoPAjWIitsBxv,,,,,,,,,,,,,,,,,,fill a bucket with water from the lake and pour it on her toy castle,1,there will still be plenty of water left for the fish,there would be no more water in the lake for the fish,0,0,0,,"If everyone had the same idea, there would be no water left for the fish","If just one person took a rock for his rock collection, there would still be plenty of rocks left on the path.",there would be no more rocks left on the path,take rocks from the path,0,0,0,,"If every one took a rock from the path, there would be none left.",47,2,6,2,3,no
283,7/2/19 10:53,R_wUnagtBvWEMPoeR,,,,,,,,,,,,,,,,,,Mary wants to fill the bucket with water from the lake and pour it on her castle. ,1,There will be plenty of water left for the fish,There won't be water left for the fish,0,0,1,Because no one will see that she's done. ,,There will still be lots of rocks left on the path.,There won't be any rocks left on the path ,Take a rock from the path,0,0,1,Because no one will see him do it. ,,31,2,3,2,3,no
304,7/2/19 10:53,R_3FVRN6I2LxUSmYV,There will still be water for the fish,No water left for the fish ,Take water from the lake to put on her castle,0,0,1,Because it is just a little water,,Take a rock from the path ,1,There are still rocks on the path.,No path left,0,0,0,,The rocks have to be preserved,,,,,,,,,,,,,,,,,,43,3,5,2,4,No
276,7/2/19 10:53,R_D6MworbxC2eNHUd,There will still be plenty of water for the fish.,There would be no more water in the lake for the fish. ,Mary wants to take water from the lake.,0,0,1,Taking the water still leaves plenty for the fish to enjoy a good swim in the lake. ,,Jacob wants to take a rock from the path to add to his personal collection of rocks. ,1,There would still be plenty of rocks left for the path. ,There would be no more rocks left on the path. ,0,0,0,,Taking the rock is stealing. Stealing is not ok. ,,,,,,,,,,,,,,,,,,62,2,5,2,4,No
252,7/2/19 10:53,R_1CjyO72dWliDbeJ,,,,,,,,,,,,,,,,,,Mary would like to fill a bucket with water from the lake and pour it on her toy castle.,1,There will still be plenty of water left for the fish.,There would be no more water in the lake for the fish.,0,0,1,It wouldn't make a difference.,,There would still be plenty of rocks left on the path,There would be no more rocks left on the path.,Take a rock from the path.,0,0,1,No one cares about rocks.,,47,2,5,2,3,no
351,7/2/19 10:53,R_31B4w4UO5Se5tHg,There would still be enough water left for the fish.,There would be no more water left for the fish.,Mary wants to take water from the lake to pour on her toy castle.,0,0,0,,There is no need to take water away from the fish.,He wants to take on of the rocks from the path to add to his rock collection.,1,There will still be enough rocks left on the path.,There would be no more rocks on the path.,0,0,0,,It's not fair to the other kids if he takes a rock and they don't. ,,,,,,,,,,,,,,,,,,33,2,5,1,1,No.
292,7/2/19 10:53,R_3e1SS4QrauWlFkn,,,,,,,,,,,,,,,,,,To fill a bucket with water from the lake and pour it on her toy castle.,1,There will still be plenty of water left for the fish.,There would be no more water in the lake for the fish.,0,0,1,"It is water from a lake, it is normal. This is not a matter of death for the fish. I cannot imagine a bunch of kids draining a lake. ",,"Nothing, there would be plenty of rocks and nobody would even notice. ",There would not be a rock path anymore. ,Take a rock for his collection. ,0,0,1,"It is a rock, plenty of people take flowers, rocks, shells, etc. all the time. People collect these things. ",,29,2,5,2,4,
349,7/2/19 10:53,R_3QVmhSK9fJaH6Tf,,,,,,,,,,,,,,,,,,to fill a bucket with water from the lake and pour it on her toy castle,1,there will still be plenty of water left for the fish,there would be no more water in the lake for the fish,0,0,0,,because her action would bring about harm to another living creature,there would still be plenty of rocks left on the path,there would be no more rocks left on the path,take a rock from the path,0,0,1,"Because it is only special to him, it will make him feel good to build his rock collection, he will appreciate this rock more than other people who just walk on it, and we live in a free country and should be able to make a selfish decision if we want to from time to time to feel alive.",,34,1,5,2,3,no issues
266,7/2/19 10:53,R_1JDAYfWhf08HHFA,,,,,,,,,,,,,,,,,,Fill a bucket with water from the lake and pour it on her toy castle.,1,The fish would have enough water to survive.,The fish wouldn't have water and would die.,0,0,0,,"It would be a fairness issue for the other kids. She may tell others what she did and they would have the same idea. If the lake couldn't replenish its water before other kids took it, the same issue with not enough water being present for the fish would occur.",There would still be plenty of rocks on the path.,There would be no more rocks on the path.,Take a rock from the path.,0,0,1,"It's OK because there are plenty of rocks on the path and nobody else is interested in taking one. If others found out, they wouldn't take rocks from the path so there would still be plenty left. Given most paths I've seen, one missing rock wouldn't cause much of an issue due to the sheer number of them.",,34,1,5,2,4,Nothing was unclear.
270,7/2/19 10:53,R_3pnFR3xBOs5xSOE,,,,,,,,,,,,,,,,,,Fill a bucket with water and pour it on her toy castle,1,There's enough left for the fish,There isn't enough for the fish,0,0,0,,She knows others will take water too and not leave enough for the fish,There would be enough left for the path,There wouldn't be anymore left for the path,Take a rock for his rock collection,0,0,1,No one else wants to and there's enough there,,34,2,5,2,3,No
366,7/2/19 10:53,R_30oBDwBmtn8mGYW,,,,,,,,,,,,,,,,,,Fill the bucket with lake water and pour it on her toy castle,1,there will still be plenty for the fish,there would be no more water for the fish,0,0,0,,"What if they all show up early on different days and use the water, it would soon deplete the fishes home. ",there would be plenty of rocks on the path,there would be no more rocks on the path,take a rock,0,0,1,No one lives in any rocks and no one else wants to take them so it wouldn't negatively impact anyone if jacob took one,,25,1,2,2,3,no
290,7/2/19 10:53,R_2SIS4dKSn7rEp7z,There will still be plenty of water left for the fish.,There would be no more water in the lake for the fish.,Take water from the lake to put it on her sand castle.,0,0,1,Nobody else wants to do so taking one bucket will not be harmful to the lake.,,He would love to take one of the rocks from the path and put it in his rock collection.,1,There would still be plenty of rocks left on the path,There would be no ore rocks left on the path.,0,0,0,,"Because if everyone did this, then nobody would be able to enjoy the rocks at the path.",,,,,,,,,,,,,,,,,,24,2,5,2,3,
240,7/2/19 10:53,R_pKSyKaTNfbOy1e9,,,,,,,,,,,,,,,,,,Mary would like to fill a bucket with water from the lake and pour it on her toy castle.,1,there will still be plenty of water left for the fish,there would be no more water in the lake for the fish,0,0,1,Because she only did it once.,,there would still be plenty of rocks left on the path,then there would be no more rocks left on the path,Take a rock from the path.,0,0,1,It's just one rock.,,36,1,5,2,1,No
275,7/2/19 10:53,R_3M5Tw6sunjPu2Jc,There would be plenty of water left in the lake.,there would be no more water,Take water from the lake,0,0,1,No one else has the intention to do so ,,He wants to take a rock from the path and put it in his rock collection.,1,There would be plenty of rocks left on the path.,There would be no rocks left on the path.,0,0,0,,It would be the start of all the rocks being taken from the path.,,,,,,,,,,,,,,,,,,29,1,5,2,2,no
240,7/2/19 10:53,R_tQ9jHD4b96u0C3L,There would be plenty of water left for the fish. ,There would be no more water. ,Mary wants water on her castle. ,0,0,1,Because it's just Mary doing it; no one else even wants to take the water.,,"Collect rocks from the path, adding to his collection.",1,There would be plenty of rocks remaining.,There wouldn't be enough rocks left. ,0,0,1,Because it's just one rock; there would still be enough for other kids.,,,,,,,,,,,,,,,,,,,30,2,5,2,4,No
295,7/2/19 10:53,R_V1OJw2HZWuOcqJj,there would still be water left for the fish,there would be no more water in the lake for the fish.,Water from the lake,0,0,1,because the other kids have already stated that they don't want to take water from the lake.,,take a rock from the path and put it in his rock collection. ,1,there would still be rocks on the path,there would be no more rocks left on the path,0,0,0,,because all the other kids also wanted rocks form the path ,,,,,,,,,,,,,,,,,,30,1,5,1,3,No.
271,7/2/19 10:53,R_1FynxbrZWZuIMp5,there will still be plenty of water left for the fish,then there would be no more water in the lake for the fish,take water from the lake and pour on the castle,0,0,1,It is only Mary herself one person,,He Love to take one of the rocks from the path and put it in his rock collection,1,here would still be plenty of rocks left on the path,then there would be no more rocks left on the path,1,1,1,It is only one rock,,,,,,,,,,,,,,,,,,,35,1,2,,4,Instructions and questions are very clear. Thank you
195,7/2/19 10:53,R_2BqCMFYWVzbExYl,There would still be plenty of water left for the fish.,There would be no more water in the lake for the fish.,Mary wants to take water from the lake.,0,0,1,"It's her sand castle, so it is her decision. It also won't hurt the fish for her to take the water.",,He wants to take one of the rocks from the path and put it in his rock collection.,1,There would be plenty of rocks left.,There would be no more rocks left on the path.,0,0,1,It is just one rock.,,,,,,,,,,,,,,,,,,,28,2,5,2,3,No.
284,7/2/19 10:53,R_2TTBH7BwCTmloHK,"It wouldn't effect the lake much if only one person took water, but they risk everyone else wanting to do it too.",There would be no more water in the lake.,Take water from the lake to dump on her castle.,0,0,1,Nobody else wants to do it and it won't effect the lake much.,,Take a rock from the path for his rock collection.,1,There would still be plenty of rocks left on the path.,There would be no rocks left on the path.,0,0,0,,Because everyone else also wants to take a rock and it wouldn't be fair if he got to and nobody else did.,,,,,,,,,,,,,,,,,,28,2,5,2,3,No
275,7/2/19 10:53,R_elp5IZpcGY92mY1,there would be plenty of water left for the fish,there would be no more water left for the fish,take a bucket of water from the lake to put on her sandcastle,0,0,0,,you are not supposed to take water from the lake,take a rock from the path for his rock collection,1,others would take rocks too,there would be no rocks left on the path,0,0,0,,you are not supposed to take rocks from the path,,,,,,,,,,,,,,,,,,63,2,5,2,4,No
